,Net In Global,Net Out Global,Nb process http,Nb process php,Nb connection mysql,Disque read global,Disque write global,Cpu http,Cpu php,Cpu mysql,Cpu global,Ram http,Ram php,Ram mysql,Ram global
2020-09-11 21:15:00,0.06,0.09,223.0,33.0,47.0,0.0,335.75,0.83,17.89,8.69,7.02,1.7,2.9,10.7,22.2
2020-09-11 21:16:00,0.07,0.1,236.0,37.0,44.0,0.0,168.4,0.56,19.7,8.69,5.7,1.8,3.2,10.7,22.22
2020-09-11 21:17:00,0.1,0.11,235.0,39.0,48.0,0.0,160.92,0.15,20.78,8.69,5.45,2.0,3.3,10.7,22.4
2020-09-11 21:18:00,0.08,0.1,265.0,35.0,66.0,0.0,166.56,0.96,19.52,8.69,4.43,2.0,3.2,10.7,22.5
2020-09-11 21:19:00,0.09,0.13,222.0,35.0,49.0,0.0,149.55,0.08,19.41,8.69,5.18,2.2,3.1,10.7,22.17
2020-09-11 21:20:00,0.07,0.09,212.0,35.0,46.0,0.0,173.15,0.74,20.06,8.69,6.82,1.9,3.0,10.7,22.03
2020-09-11 21:21:00,0.1,0.13,223.0,36.0,54.0,0.0,271.02,0.06,19.37,8.69,5.49,2.0,3.1,10.7,22.15
2020-09-11 21:22:00,0.07,0.09,196.0,34.0,40.0,0.0,184.12,1.14,19.87,8.69,6.29,1.9,3.0,10.7,22.11
2020-09-11 21:23:00,0.08,0.1,203.0,33.0,50.0,0.0,166.52,0.53,18.46,8.69,5.15,2.1,3.1,10.7,22.26
2020-09-11 21:24:00,0.07,0.1,221.0,36.0,47.0,0.0,169.38,0.11,20.38,8.69,6.38,2.0,3.4,10.7,22.08
2020-09-11 21:25:00,0.06,0.08,217.0,35.0,48.0,0.0,300.01,0.17,21.68,8.69,6.01,2.0,3.1,10.7,22.32
2020-09-11 21:26:00,0.08,0.11,203.0,36.0,53.0,0.0,214.02,1.18,20.14,8.69,7.56,1.8,3.0,10.7,22.23
2020-09-11 21:27:00,0.14,0.14,215.0,32.0,52.0,0.0,163.01,0.12,17.57,8.69,7.12,2.0,2.8,10.7,22.13
2020-09-11 21:28:00,0.07,0.1,202.0,34.0,42.0,0.0,225.76,4.34,18.7,8.69,6.08,1.8,3.0,10.7,22.0
2020-09-11 21:29:00,0.1,0.13,231.0,35.0,47.0,0.0,263.65,0.06,19.87,8.69,6.17,2.3,3.2,10.7,22.35
2020-09-11 21:30:00,0.07,0.1,211.0,32.0,50.0,0.0,271.21,0.21,17.68,8.69,5.06,1.9,2.9,10.7,22.27
2020-09-11 21:31:00,0.09,0.12,197.0,32.0,43.0,0.0,174.53,0.14,16.97,8.69,4.41,1.8,3.1,10.7,22.1
2020-09-11 21:32:00,0.08,0.11,213.0,34.0,48.0,0.0,160.88,0.45,17.94,8.69,5.06,1.6,2.9,10.7,22.15
2020-09-11 21:33:00,0.08,0.1,202.0,32.0,45.0,0.0,173.35,0.21,17.36,8.69,4.23,1.8,2.8,10.7,22.15
2020-09-11 21:34:00,0.08,0.1,217.0,33.0,47.0,0.0,159.38,1.26,18.85,8.69,5.76,1.7,2.9,10.7,22.04
2020-09-11 21:35:00,0.06,0.08,214.0,31.0,44.0,0.0,192.78,0.26,17.17,8.69,3.95,1.9,2.7,10.7,22.04
2020-09-11 21:36:00,0.09,0.11,230.0,35.0,44.0,0.0,345.1,1.02,18.82,8.69,7.83,1.8,3.1,10.7,22.13
2020-09-11 21:37:00,0.1,0.11,180.0,36.0,51.0,0.0,369.99,0.14,19.12,8.69,5.94,2.0,3.1,10.7,22.43
2020-09-11 21:38:00,0.07,0.09,204.0,32.0,54.0,0.0,320.2,0.53,17.02,8.69,4.98,1.5,2.8,10.7,22.21
2020-09-11 21:39:00,0.09,0.12,230.0,34.0,62.0,0.0,185.07,0.78,18.16,8.69,5.78,1.8,3.1,10.7,22.12
2020-09-11 21:40:00,0.08,0.1,199.0,33.0,42.0,0.0,247.07,0.17,17.54,8.69,5.75,1.9,2.9,10.7,22.16
2020-09-11 21:41:00,0.1,0.13,203.0,35.0,48.0,0.0,200.16,0.24,19.12,8.69,4.85,1.8,3.0,10.7,22.32
2020-09-11 21:42:00,0.07,0.1,214.0,33.0,49.0,0.0,171.22,1.01,17.43,8.69,4.44,1.7,2.9,10.7,22.09
2020-09-11 21:43:00,0.08,0.1,177.0,35.0,49.0,0.0,177.67,0.54,20.38,8.69,4.51,1.8,3.2,10.7,22.26
2020-09-11 21:44:00,0.07,0.1,206.0,34.0,43.0,0.0,174.78,1.05,19.77,8.69,5.21,1.6,2.9,10.7,22.06
2020-09-11 21:45:00,0.05,0.07,198.0,34.0,50.0,0.0,269.43,0.36,18.71,8.69,4.98,1.7,3.0,10.7,22.22
2020-09-11 21:46:00,0.08,0.11,184.0,34.0,56.0,0.0,253.15,0.3,17.79,8.69,6.69,1.6,3.1,10.7,22.37
2020-09-11 21:47:00,0.08,0.1,213.0,33.0,49.0,0.0,182.02,0.72,17.06,8.69,6.12,1.5,2.9,10.7,22.12
2020-09-11 21:48:00,0.07,0.09,201.0,33.0,48.0,0.0,194.17,6.24,17.24,8.69,5.17,1.7,2.9,10.7,22.27
2020-09-11 21:49:00,0.09,0.12,196.0,35.0,45.0,0.0,252.68,0.19,19.41,8.69,8.89,1.9,3.1,10.7,22.3
2020-09-11 21:50:00,0.08,0.1,208.0,38.0,60.0,0.0,183.82,1.26,21.78,8.69,6.37,1.6,3.2,10.7,22.31
2020-09-11 21:51:00,0.09,0.13,195.0,34.0,50.0,0.0,182.62,0.47,18.77,8.69,4.89,1.7,2.9,10.7,22.1
2020-09-11 21:52:00,0.07,0.1,179.0,39.0,42.0,0.0,276.82,2.74,21.01,8.69,5.74,1.7,3.3,10.7,22.05
2020-09-11 21:53:00,0.08,0.09,239.0,38.0,49.0,0.0,181.1,1.02,19.81,8.69,6.47,1.9,3.2,10.7,22.21
2020-09-11 21:54:00,0.07,0.09,198.0,34.0,53.0,0.0,173.95,1.85,18.33,8.69,5.52,2.0,3.0,10.7,22.22
2020-09-11 21:55:00,0.06,0.08,178.0,35.0,45.0,0.0,166.26,0.03,18.63,8.69,7.78,1.9,3.2,10.7,22.06
2020-09-11 21:56:00,0.08,0.1,234.0,35.0,47.0,0.0,259.94,1.2,18.29,8.69,7.54,1.5,3.0,10.7,21.97
2020-09-11 21:57:00,0.07,0.09,244.0,33.0,44.0,0.0,223.08,1.04,17.04,8.69,5.83,1.9,2.9,10.7,22.03
2020-09-11 21:58:00,0.07,0.09,197.0,36.0,41.0,0.0,362.43,0.24,20.18,8.69,7.87,2.0,3.3,10.7,22.07
2020-09-11 21:59:00,0.09,0.12,218.0,35.0,48.0,0.0,281.87,0.76,19.99,8.69,7.95,1.7,2.9,10.7,22.09
2020-09-11 22:00:00,0.07,0.09,233.0,33.0,45.0,0.0,245.79,1.41,18.16,8.69,8.91,1.8,2.9,10.7,22.02
2020-09-11 22:01:00,0.12,0.15,179.0,34.0,55.0,0.0,474.74,0.16,18.12,8.69,8.2,1.9,3.1,10.7,22.18
2020-09-11 22:02:00,0.11,0.13,208.0,34.0,48.0,0.0,286.48,0.72,18.64,8.69,8.23,1.6,3.2,10.7,22.01
2020-09-11 22:03:00,0.1,0.11,176.0,34.0,49.0,0.0,265.04,0.62,18.77,8.69,8.24,1.7,3.2,10.6,22.24
2020-09-11 22:04:00,0.08,0.1,213.0,35.0,49.0,0.0,270.81,0.44,20.61,8.69,8.12,1.6,3.3,10.6,22.2
2020-09-11 22:05:00,0.07,0.09,230.0,33.0,49.0,0.0,294.62,0.74,18.22,8.69,9.57,1.7,3.2,10.6,22.24
2020-09-11 22:06:00,0.1,0.12,187.0,33.0,51.0,0.0,178.97,0.06,17.25,8.69,9.96,1.9,3.2,10.6,22.35
2020-09-11 22:07:00,0.07,0.09,167.0,32.0,44.0,0.0,322.57,0.93,16.68,8.69,10.06,1.5,3.0,10.6,22.13
2020-09-11 22:08:00,0.09,0.1,210.0,35.0,49.0,0.0,396.8,1.02,18.07,8.69,9.13,1.5,3.2,10.6,22.36
2020-09-11 22:09:00,0.11,0.13,192.0,35.0,53.0,0.0,278.2,0.12,19.11,8.69,16.31,1.9,3.1,10.6,22.33
2020-09-11 22:10:00,0.1,0.11,186.0,35.0,51.0,0.0,303.33,0.19,18.66,8.69,10.74,1.6,3.3,10.6,22.34
2020-09-11 22:11:00,0.1,0.13,207.0,34.0,52.0,0.0,11157.43,0.89,17.38,8.69,8.78,1.5,3.1,10.6,22.36
2020-09-11 22:12:00,0.08,0.1,220.0,32.0,50.0,0.0,16577.34,0.93,16.23,8.69,7.0,1.7,3.0,10.6,22.31
2020-09-11 22:13:00,0.09,0.11,199.0,34.0,51.0,0.0,15021.26,0.3,17.01,8.62,14.29,1.8,3.0,10.6,22.54
2020-09-11 22:14:00,0.08,0.1,215.0,34.0,52.0,0.0,24325.76,0.67,17.01,8.62,15.0,1.6,3.1,10.6,22.41
2020-09-11 22:15:00,0.06,0.08,201.0,35.0,50.0,0.0,27776.92,0.28,17.52,8.62,11.84,1.8,3.0,10.7,22.13
2020-09-11 22:16:00,0.09,0.11,187.0,36.0,51.0,0.0,27160.35,0.14,18.26,8.62,8.87,1.6,3.0,10.7,22.17
2020-09-11 22:17:00,0.08,0.1,140.0,34.0,47.0,0.0,4713.44,0.01,17.1,8.62,6.89,1.6,3.6,10.7,22.18
2020-09-11 22:18:00,0.07,0.09,150.0,84.0,203.0,0.0,2562.47,0.14,22.09,8.62,6.3,1.6,6.2,10.7,23.91
